name,poi_id,osm_way_id,osm_relation_id,building,amenity,leisure,way,geometry,centroid,area,area_ft2
,322,29634600,,yes,,,,"POLYGON ((-71.1427362 42.3431117, -71.1428825 42.3431911, -71.1426645 42.3434918, -71.1426309 42.3434992, -71.1425035 42.3434289, -71.1427362 42.3431117))",POINT (-71.1426933 42.3433101),595.9,6414.5
,323,29634703,,yes,,,,"POLYGON ((-71.1348616 42.3357836, -71.1349353 42.3357931, -71.1349112 42.3358971, -71.1347641 42.3358784, -71.1347808 42.3358065, -71.134854 42.3358158, -71.1348616 42.3357836))",POINT (-71.1348549 42.3358431),121.9,1312.5
,324,29634736,,yes,,,,"POLYGON ((-71.1342937 42.3434157, -71.1344847 42.343451, -71.1344525 42.3435473, -71.1343788 42.3435338, -71.1343867 42.3435105, -71.1342691 42.3434888, -71.1342937 42.3434157))",POINT (-71.1343816 42.3434763),152.3,1639.1
,325,29634903,,yes,,,,"POLYGON ((-71.135936 42.3431428, -71.1360245 42.3431783, -71.1359785 42.3432414, -71.1361674 42.343317, -71.1362089 42.34326, -71.1363102 42.3433006, -71.1362624 42.3433664, -71.1363513 42.3434021, -71.1362845 42.3434938, -71.136187 42.3434547, -71.1361381 42.3435219, -71.1357609 42.3433708, -71.1358109 42.343302, -71.1356928 42.3432546, -71.135757 42.3431665, -71.1358823 42.3432167, -71.135936 42.3431428))",POINT (-71.1360212 42.3433413),1110.3,11950.7
,326,29634922,,yes,,,,"POLYGON ((-71.1353825 42.3419123, -71.1354767 42.3419846, -71.1353932 42.3420444, -71.1352991 42.3419721, -71.1353825 42.3419123))",POINT (-71.1353879 42.3419784),106.7,1148.3
,327,29634969,,yes,,,,"POLYGON ((-71.132584 42.3433597, -71.1326823 42.343387, -71.1326605 42.3434303, -71.132699 42.343441, -71.1326528 42.3435324, -71.1325159 42.3434943, -71.132584 42.3433597))",POINT (-71.1326112 42.3434492),174.9,1882.3
,328,29634995,,yes,,,,"POLYGON ((-71.1371844 42.3417405, -71.1372293 42.3417831, -71.137294 42.3417456, -71.1374081 42.3418538, -71.1372467 42.3419473, -71.137128 42.3418346, -71.137148 42.341823, -71.137108 42.3417849, -71.1371844 42.3417405))",POINT (-71.1372539 42.3418366),306.5,3299.3
,329,29635011,,yes,,,,"POLYGON ((-71.1386372 42.3426539, -71.1387204 42.3427095, -71.1385748 42.3428293, -71.1384916 42.3427738, -71.1386372 42.3426539))",POINT (-71.138606 42.3427416),165.2,1777.9
,330,29635153,,yes,,,,"POLYGON ((-71.1476816 42.3432358, -71.1477431 42.3433115, -71.1475962 42.3433771, -71.1475495 42.3433195, -71.1476491 42.3432749, -71.1476344 42.3432569, -71.1476816 42.3432358))",POINT (-71.147648 42.34331),116.1,1249.7
,331,29635246,,yes,,,,"POLYGON ((-71.136137 42.3357874, -71.1362107 42.3358441, -71.1360557 42.335955, -71.135982 42.3358983, -71.136137 42.3357874))",POINT (-71.1360964 42.3358712),155.2,1670.0
,332,29635330,,yes,,,,"POLYGON ((-71.137096 42.3361042, -71.1371269 42.3361617, -71.1370665 42.3361795, -71.1370356 42.336122, -71.137096 42.3361042))",POINT (-71.1370812 42.3361419),36.8,396.1
,333,29635412,,yes,,,,"POLYGON ((-71.1360414 42.3440434, -71.1361187 42.3440828, -71.136064 42.3441419, -71.136032 42.3441257, -71.1360148 42.3441444, -71.1359693 42.3441213, -71.1360414 42.3440434))",POINT (-71.1360445 42.3440975),73.0,785.6
,334,29635465,,yes,,,,"POLYGON ((-71.1298447 42.3433268, -71.1299709 42.3433924, -71.1299204 42.3434458, -71.1297943 42.3433801, -71.1298447 42.3433268))",POINT (-71.1298826 42.3433863),91.8,988.6
,335,29635565,,yes,,,,"POLYGON ((-71.1486051 42.3376335, -71.1486438 42.3377453, -71.1484837 42.3377758, -71.1484524 42.3376854, -71.1484772 42.3376806, -71.1484697 42.3376593, -71.1486051 42.3376335))",POINT (-71.1485469 42.3377056),169.4,1823.0
,336,29635582,,yes,,,,"POLYGON ((-71.1382689 42.3424549, -71.138351 42.3425098, -71.1382191 42.3426184, -71.138137 42.3425634, -71.1382689 42.3424549))",POINT (-71.138244 42.3425366),147.8,1590.9
,337,29635891,,yes,,,,"POLYGON ((-71.1378415 42.3416991, -71.1379402 42.3417529, -71.1378519 42.341842, -71.1377532 42.3417882, -71.1378415 42.3416991))",POINT (-71.1378467 42.3417706),123.9,1333.5
,338,29635908,,yes,,,,"POLYGON ((-71.1351051 42.3363637, -71.13522 42.3363974, -71.1351639 42.3365032, -71.1349658 42.3364452, -71.1350028 42.3363756, -71.1350858 42.3363999, -71.1351051 42.3363637))",POINT (-71.1350995 42.3364299),189.7,2041.9
,339,29635913,,yes,,,,"POLYGON ((-71.138726 42.3433539, -71.138872 42.3434514, -71.1388049 42.3435067, -71.138659 42.3434092, -71.138726 42.3433539))",POINT (-71.1387655 42.3434303),133.6,1438.2
